"gene_id","ensembl_gene_id","gene_symbol","gene_type","HT55_log2FC","HT55_padj","SW948_log2FC","SW948_padj","observed_LFC_difference","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","interaction_status"
"ENSG00000181938.16","ENSG00000181938","GINS3","protein_coding",-0.949741940950954,1.59796437944949e-06,-2.0424076314675,8.10157057525054e-17,-1.09266569051655,80.1725828762966,-1.09266566547871,0.302177280102893,-3.61597557932436,0.000299218585169798,0.000948234361749555,"Negative_interaction"
"ENSG00000227214.3","ENSG00000227214","HCG15","lncRNA",-1.29876234009715,0.0534186743226987,-5.15220594377474,1.88853102955026e-08,-3.85344360367759,9.96018831191403,-3.8534411733286,1.06595330496013,-3.61501873993697,0.000300325896442828,0.000951119512947873,"Negative_interaction"
"ENSG00000148057.18","ENSG00000148057","IDNK","protein_coding",-0.796584518707065,0.0249285397894778,-2.98230786700723,2.16523040654151e-08,-2.18572334830017,34.9514395450336,-2.18572328317164,0.605000839979599,-3.61276074136583,0.000302954218896964,0.000958605358134236,"Negative_interaction"
"ENSG00000172367.17","ENSG00000172367","NHERF4","protein_coding",0.87664396285094,0.0940374356213673,-1.25124405553519,0.00159998478918692,-2.12788801838613,11.7618436338015,-2.12788729902915,0.589187636556314,-3.61156135499758,0.000304359055494965,0.000962420124859923,"Negative_interaction"
"ENSG00000149346.17","ENSG00000149346","SLX4IP","protein_coding",-0.666610785858008,0.00535811960493428,-1.75187495300958,3.38610496393339e-16,-1.08526416715157,69.8821564394664,-1.08526407530088,0.300635828341599,-3.609896003705,0.00030631979285603,0.00096798657611635,"Negative_interaction"
"ENSG00000173467.11","ENSG00000173467","AGR3","protein_coding",-3.29187352688325,5.94431336638585e-06,-0.542487582970282,0.160946882655726,2.74938594391297,14.3064409336273,2.74938433965059,0.762789067569748,3.60438351379387,0.000312894742541027,0.000987041926187323,"Positive_interaction"
"ENSG00000179943.10","ENSG00000179943","FIZ1","protein_coding",-0.753679183652766,0.000197174734410143,-1.80189508339873,3.83521745848114e-15,-1.04821589974596,101.746273196845,-1.04821585506371,0.290861704841461,-3.60382902807732,0.000313563361360472,0.000988935850453963,"Negative_interaction"
"ENSG00000177173.5","ENSG00000177173","NAP1L4P1","processed_pseudogene",-0.163230374265634,0.825459008675882,2.12431894996899,8.67696682637793e-10,2.28754932423462,17.3756170276179,2.28754809864256,0.634832154998045,3.60339040899654,0.000314093211313796,0.000990175944824785,"Positive_interaction"
"ENSG00000286760.4","ENSG00000286760","ENSG00000286760","lncRNA",1.15739812523104,0.0802923456931112,-1.84806697540551,0.00366359774607619,-3.00546510063655,6.71017575152515,-3.00546304278144,0.834134343861473,-3.60309231348537,0.000314453787676767,0.000991097061986017,"Negative_interaction"
"ENSG00000036473.11","ENSG00000036473","OTC","protein_coding",0,1,-6.66676190352278,5.70360638711833e-09,-6.66676190352278,5.20606623694022,-6.7321909821569,1.86886665712979,-3.60228535111018,0.000315431834831462,0.00099374742399512,"Negative_interaction"
"ENSG00000173269.16","ENSG00000173269","MMRN2","protein_coding",0.921241931459658,0.0943939077354667,4.67965416334411,1.13653262638232e-06,3.75841223188445,10.1886853954654,3.75840812448366,1.04465990911839,3.59773366593101,0.000321002071558918,0.00100997872797044,"Positive_interaction"
"ENSG00000253251.5","ENSG00000253251","SHLD3","protein_coding",0.0325025487762334,0.940514129153362,1.38833086119709,3.86774856448625e-08,1.35582831242086,50.4734788800678,1.35582809463845,0.376888181241811,3.59742799620599,0.000321379422353283,0.0010105078300594,"Positive_interaction"
"ENSG00000111344.14","ENSG00000111344","RASAL1","protein_coding",0.650552924517293,0.0272663678832417,1.77393660423915,6.96168360294008e-24,1.12338367972186,70.169592777683,1.12338348324939,0.312269617061761,3.59747929952213,0.00032131605917265,0.0010105078300594,"Positive_interaction"
"ENSG00000099910.19","ENSG00000099910","KLHL22","protein_coding",0.556941265708277,0.126017301346921,-0.823709050566394,0.000463213278871939,-1.38065031627467,36.5730099580178,-1.38065015092693,0.384279931072643,-3.59282397879355,0.000327113565308883,0.0010263108440044,"Negative_interaction"
"ENSG00000115194.13","ENSG00000115194","SLC30A3","protein_coding",0.56739984443123,0.47746285436354,3.94928044511447,3.66352029542989e-08,3.38188060068324,6.76248855355156,3.38187723404659,0.941445395793169,3.59221814579842,0.000327875198207615,0.00102803275041643,"Positive_interaction"
"ENSG00000161249.23","ENSG00000161249","DMKN","protein_coding",-1.74225475393762,6.21106132904082e-07,-0.469537666036488,0.00130324894995753,1.27271708790113,95.1537624205896,1.27271688644774,0.354311605325569,3.59208354261575,0.000328044641981426,0.00102811915043141,"Positive_interaction"
"ENSG00000072422.19","ENSG00000072422","RHOBTB1","protein_coding",0.0850151518351298,0.754752333471624,-0.997026562621273,1.61494415387722e-05,-1.0820417144564,77.8597682258447,-1.08204162754499,0.30124074499317,-3.59194977946797,0.000328213109467582,0.00102842473133064,"Negative_interaction"
"ENSG00000290683.2","ENSG00000290683","ENSG00000290683","lncRNA",-0.451208011349862,0.29730462590839,1.05759423644168,4.96591976945472e-06,1.50880224779154,27.2890450927343,1.50880191004871,0.420521856940385,3.58792744098105,0.000333317013657326,0.00104283898141666,"Positive_interaction"
"ENSG00000166436.19","ENSG00000166436","TRIM66","protein_coding",-1.21990050897043,3.6046317369104e-05,-2.73915731600773,1.9005856029134e-16,-1.5192568070373,29.9787767354445,-1.5192566618256,0.42434847796282,-3.58020999419894,0.000343318188973451,0.00106974138778827,"Negative_interaction"
"ENSG00000257365.10","ENSG00000257365","FNTB","protein_coding",-0.216879088408812,0.405287198256773,-1.32087554748545,1.44036550547657e-08,-1.10399645907664,42.6302507392394,-1.10399636814143,0.308382805706552,-3.57995435449783,0.000343654231865443,0.00107055828207094,"Negative_interaction"
"ENSG00000108465.17","ENSG00000108465","CDK5RAP3","protein_coding",-0.587339691724154,0.257723485212245,1.24841859712892,1.67371553235073e-05,1.83575828885307,27.3666516977315,1.83575769374579,0.513067168346754,3.57800655937722,0.000346224764846435,0.00107810255525452,"Positive_interaction"
"ENSG00000228889.10","ENSG00000228889","UBAC2-AS1","lncRNA",-0.645465522521464,0.177661880982631,-2.52364334809599,2.29474839960105e-13,-1.87817782557453,22.2885275482312,-1.87817731111247,0.525689769997359,-3.57278649558257,0.000353202725915283,0.00109747296397176,"Negative_interaction"
