"gene_id","ensembl_gene_id","gene_symbol","gene_type","HT55_log2FC","HT55_padj","SW948_log2FC","SW948_padj","observed_LFC_difference","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","interaction_status"
"ENSG00000140854.15","ENSG00000140854","KATNB1","protein_coding",-0.307367093350497,0.0170192135343522,-1.58323132164196,1.8935054963331e-28,-1.27586422829146,166.907344455004,-1.27586420049577,0.181221180460408,-7.04037021088993,1.91729728265157e-12,2.62540100020486e-11,"Negative_interaction"
"ENSG00000144579.11","ENSG00000144579","CTDSP1","protein_coding",-0.326955102554751,0.0663364074179331,-1.89237002878052,2.99980562985724e-31,-1.56541492622577,1100.2430063705,-1.56541485267639,0.222494741147377,-7.03573866332186,1.98208130946525e-12,2.70219401098498e-11,"Negative_interaction"
"ENSG00000111684.13","ENSG00000111684","LPCAT3","protein_coding",-0.587157170623413,5.09818713986743e-06,-1.83183186882549,5.09518181108214e-43,-1.24467469820208,602.45252200338,-1.24467466706841,0.177211107643344,-7.02368312923953,2.16094591245987e-12,2.93499795345534e-11,"Negative_interaction"
"ENSG00000128000.19","ENSG00000128000","ZNF780B","protein_coding",-1.44342409868741,1.69539572056982e-07,-4.18575785938407,1.75054219992856e-44,-2.74233376069666,150.178918971687,-2.7423334298533,0.391076392267361,-7.0122704516986,2.34481376384723e-12,3.16102707587665e-11,"Negative_interaction"
"ENSG00000136870.12","ENSG00000136870","ZNF189","protein_coding",-0.280102626944131,0.0719512301544576,-1.70075489181248,2.2237989905097e-28,-1.42065226486835,207.262030738426,-1.42065221625397,0.202630942516826,-7.01103295779223,2.36564995248836e-12,3.18319397506604e-11,"Negative_interaction"
"ENSG00000150347.18","ENSG00000150347","ARID5B","protein_coding",0.0354830643015396,0.893072890336462,-1.85241620589829,3.62257355699095e-20,-1.88789927019983,344.229982502204,-1.88789914367337,0.269917977711541,-6.99434383615216,2.66503241641892e-12,3.57939293593541e-11,"Negative_interaction"
"ENSG00000157150.7","ENSG00000157150","TIMP4","protein_coding",-0.345342313466693,0.224647505188258,-3.31284951898275,3.75023345054345e-20,-2.96750720551606,57.9881284258405,-2.9675069168416,0.425151382852851,-6.9798830170304,2.95425952685758e-12,3.94955065158856e-11,"Negative_interaction"
"ENSG00000158467.19","ENSG00000158467","AHCYL2","protein_coding",0.327636888384206,0.0306880599945535,-0.967374347936173,2.71120477723749e-13,-1.29501123632038,538.745198640381,-1.29501119174905,0.185844778039817,-6.96824094498687,3.20928258248397e-12,4.27864978706143e-11,"Negative_interaction"
"ENSG00000166188.5","ENSG00000166188","ZNF319","protein_coding",-0.225700834428578,0.215232660286012,-2.20473464696043,2.42093068538088e-19,-1.97903381253185,61.5152714007555,-1.97903374704073,0.284246251930387,-6.96239170648909,3.3454374843082e-12,4.44789724977931e-11,"Negative_interaction"
"ENSG00000093217.13","ENSG00000093217","XYLB","protein_coding",-0.3244683971854,0.0649336654966673,-1.94455719988708,1.55800830595871e-27,-1.62008880270168,90.9313821053605,-1.62008873197342,0.232767774222392,-6.96010750365102,3.40013176492629e-12,4.50408679500108e-11,"Negative_interaction"
"ENSG00000075391.20","ENSG00000075391","RASAL2","protein_coding",-0.388302590175365,0.00381244769321341,-1.71178205224588,2.40681097089903e-30,-1.32347946207052,342.872254382575,-1.32347943313216,0.190232472668629,-6.95716885012352,3.47178767821224e-12,4.59480794818737e-11,"Negative_interaction"
"ENSG00000128973.15","ENSG00000128973","CLN6","protein_coding",-0.760231908032688,1.23930108315076e-07,-2.27170497341895,5.23806254375319e-39,-1.51147306538626,263.561901745238,-1.51147303223125,0.217374898286245,-6.95330069914927,3.56836949795445e-12,4.71832215003247e-11,"Negative_interaction"
"ENSG00000198246.11","ENSG00000198246","SLC29A3","protein_coding",1.75019788699732,5.34778469514131e-15,-0.3830595354218,0.107165635364154,-2.13325742241912,101.637469052203,-2.13325722095395,0.307085434600008,-6.94678737769707,3.73698261500762e-12,4.93227250060932e-11,"Negative_interaction"
"ENSG00000138668.22","ENSG00000138668","HNRNPD","protein_coding",-0.860066907478878,1.94238613029027e-08,-2.27541159060472,1.2269296628705e-53,-1.41534468312584,1233.78190342908,-1.41534462592886,0.204142608748971,-6.93311717040547,4.11666952642533e-12,5.42352497972326e-11,"Negative_interaction"
