"gene_id","ensembl_gene_id","gene_symbol","gene_type","HT55_log2FC","HT55_padj","SW948_log2FC","SW948_padj","observed_LFC_difference","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","interaction_status"
"ENSG00000196689.15","ENSG00000196689","TRPV1","protein_coding",-0.284792298822175,0.438171089583577,-0.590221685043983,0.0572882061339776,-0.305429386221808,30.2415284971934,-0.305429337361473,0.413307354059381,-0.738988392927534,0.459914045522566,0.558146176323914,"Not_significant"
"ENSG00000260747.1","ENSG00000260747","ENSG00000260747","processed_pseudogene",-0.120817867729037,0.815789926204606,-0.550254293495658,0.253810847062817,-0.429436425766621,11.0449645112437,-0.429436337786506,0.581191121494797,-0.738890051661517,0.459973763720432,0.558146176323914,"Not_significant"
"ENSG00000170275.17","ENSG00000170275","CRTAP","protein_coding",1.35866516818798,1.80653140754202e-26,1.23206215752217,5.74986034902852e-24,-0.12660301066581,2458.04384003368,-0.126603008851527,0.171494825768338,-0.738232236945433,0.46037333639497,0.558584259128927,"Not_significant"
"ENSG00000076944.19","ENSG00000076944","STXBP2","protein_coding",0.502818444396831,0.00818476090038652,0.338076994558879,0.0271091456466639,-0.164741449837952,83.9313255226092,-0.164741447588591,0.223261297620794,-0.737886276502799,0.460583559075574,0.558792544003619,"Not_significant"
"ENSG00000179477.12","ENSG00000179477","ALOX12B","protein_coding",-0.517322813578686,0.650341160001586,0.224098677136871,0.708864538710616,0.741421490715557,5.75936815349109,0.741420352227949,1.0051130936806,0.737648685396145,0.460727962273887,0.55887416332746,"Not_significant"
"ENSG00000182518.16","ENSG00000182518","VCF2","protein_coding",-0.802776276927769,1.00613034066306e-05,-0.618658514507745,0.00132986264576212,0.184117762420024,66.2987147619886,0.18411773981051,0.249593206837805,0.737671277769016,0.460714229985329,0.55887416332746,"Not_significant"
"ENSG00000177425.13","ENSG00000177425","PAWR","protein_coding",-0.0138314358045754,0.90112065492405,0.0661769093718719,0.437476100343536,0.0800083451764473,1194.96567618373,0.0800083442332469,0.108488008222865,0.73748560365204,0.460827094797089,0.558947627870724,"Not_significant"
"ENSG00000055609.22","ENSG00000055609","KMT2C","protein_coding",0.724851476002807,7.76685549862998e-14,0.629527954981775,1.42371924841027e-11,-0.0953235210210319,1242.30267501848,-0.0953235196398691,0.129304639708181,-0.737201076890961,0.461000078667889,0.559110648594447,"Not_significant"
"ENSG00000128534.10","ENSG00000128534","LSM8","protein_coding",-0.493269932100499,1.74778047755001e-08,-0.409804068707273,3.73796946493079e-07,0.083465863393226,470.672852271398,0.083465862285551,0.11326461768956,0.736910290151839,0.461176905914601,0.559278302971916,"Not_significant"
"ENSG00000146842.19","ENSG00000146842","TMEM209","protein_coding",-0.641647957118861,1.09163380041687e-07,-0.761734849491368,2.96087512619918e-10,-0.120086892372507,502.2029508344,-0.120086891097256,0.163061278060412,-0.736452531990861,0.4614553451651,0.559569145856633,"Not_significant"
