"gene_id","ensembl_gene_id","gene_symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"ENSG00000173825.9","ENSG00000173825","TIGD3","protein_coding",11.889077375788,-1.45893008267951,0.425237263088589,-3.43086133158461,0.000601668079795781,0.0010226804846822,"Downregulated"
"ENSG00000163126.17","ENSG00000163126","ANKRD23","protein_coding",10.9965103747245,-1.47059015643268,0.431248795692018,-3.41007365382399,0.000649453378115891,0.00110067575203549,"Downregulated"
"ENSG00000289294.3","ENSG00000289294","ENSG00000289294","lncRNA",9.57864234883385,-1.49731182226616,0.439279182455075,-3.40856540002164,0.000653054292015773,0.00110651967729365,"Downregulated"
"ENSG00000302309.1","ENSG00000302309","ENSG00000302309","lncRNA",13.5992147167921,-1.59327815627469,0.467808194338815,-3.40583635677135,0.000659617039871195,0.00111698646200203,"Downregulated"
"ENSG00000243566.9","ENSG00000243566","UPK3B","protein_coding",15.3492219656102,-1.91994458965652,0.5644400828493,-3.40150291943233,0.00067016412758385,0.00113431657754557,"Downregulated"
"ENSG00000138587.8","ENSG00000138587","MNS1","protein_coding",7.97793549675457,-1.59316941085666,0.468406714876194,-3.40125228836174,0.000670778905549666,0.00113522455905941,"Downregulated"
"ENSG00000143450.19","ENSG00000143450","OAZ3","protein_coding",11.3408280794247,-1.34269983466467,0.39496865124919,-3.39950988621004,0.00067506739345508,0.0011420822631276,"Downregulated"
"ENSG00000183308.7","ENSG00000183308","ENSG00000183308","lncRNA",11.0369979732347,-3.86321062751827,1.13891222504699,-3.39201787684638,0.000693799133637325,0.00117308797627723,"Downregulated"
"ENSG00000255135.6","ENSG00000255135","EMSY-DT","lncRNA",23.7247715634571,-1.28112199665407,0.377934420596801,-3.38979972935789,0.000699437008549911,0.00118193110166806,"Downregulated"
"ENSG00000271254.7","ENSG00000271254","ENSG00000271254","protein_coding",11.8555335309652,-1.6235261229604,0.47904094675132,-3.38911764009019,0.000701179218342646,0.00118450193469553,"Downregulated"
"ENSG00000238197.9","ENSG00000238197","PAXBP1-AS1","lncRNA",3.80363084516818,-2.51069623450986,0.741655945172014,-3.38525734318431,0.000711115520911943,0.00120054591438209,"Downregulated"
"ENSG00000166321.16","ENSG00000166321","NUDT13","protein_coding",13.2740044128607,-1.30954531754984,0.387260872169855,-3.38155856080255,0.000720758681111922,0.0012158345718396,"Downregulated"
"ENSG00000232859.12","ENSG00000232859","LYRM9","protein_coding",10.7340560512604,-1.47202952099422,0.435810242465813,-3.37768454606639,0.000730988847965611,0.00123180120752531,"Downregulated"
"ENSG00000213222.3","ENSG00000213222","TOMM40P4","processed_pseudogene",8.68803991940441,-1.97704078513974,0.586018199425673,-3.37368495906329,0.000741691998999604,0.00124896589001885,"Downregulated"
"ENSG00000253106.1","ENSG00000253106","ENSG00000253106","lncRNA",17.0645179823146,-1.641991927462,0.487093222564796,-3.37100138412123,0.000748954815087781,0.00126061012546482,"Downregulated"
"ENSG00000272831.3","ENSG00000272831","ENSG00000272831","lncRNA",21.7532282172107,-1.02346875296943,0.303740072199169,-3.36955458513988,0.000752897774258599,0.00126709958710436,"Downregulated"
"ENSG00000304564.1","ENSG00000304564","ENSG00000304564","lncRNA",5.81964612258578,-1.91877944938527,0.569473490573766,-3.36939204571583,0.000753341945118461,0.00126769989185517,"Downregulated"
"ENSG00000238249.2","ENSG00000238249","HMGN2P17","processed_pseudogene",27.1402677977076,-1.1862504036715,0.352823328509007,-3.36216544604482,0.000773337734789425,0.00130044215044887,"Downregulated"
"ENSG00000198125.15","ENSG00000198125","MB","protein_coding",3.14566696914705,-2.58990902494471,0.770331854858467,-3.36206922848927,0.00077360725928173,0.00130074444848716,"Downregulated"
"ENSG00000187068.4","ENSG00000187068","C3orf70","protein_coding",10.0522957195344,-1.24987964404,0.371825108305756,-3.36147187513818,0.000775282516966617,0.0013032588140448,"Downregulated"
"ENSG00000268573.1","ENSG00000268573","ENSG00000268573","lncRNA",20.8043877585181,-1.07515740061973,0.319903824751762,-3.36087698061763,0.00077695422544652,0.00130576604837887,"Downregulated"
"ENSG00000146021.17","ENSG00000146021","KLHL3","protein_coding",7.57005288960395,-2.78541048835395,0.829474601414336,-3.35804192630437,0.000784967059848908,0.00131846808429884,"Downregulated"
"ENSG00000135898.12","ENSG00000135898","GPR55","protein_coding",8.23527445230072,-1.52127628271358,0.453621827624673,-3.35362231284048,0.000797611529163715,0.0013386202988582,"Downregulated"
"ENSG00000229241.1","ENSG00000229241","PNPT1P1","processed_pseudogene",14.0464054329276,-1.27786779406025,0.381612169351248,-3.34860336407159,0.000812199781036982,0.00136105448968408,"Downregulated"
"ENSG00000287037.2","ENSG00000287037","ENSG00000287037","lncRNA",5.13691727693233,-2.07194048278909,0.619593895394755,-3.34402985276189,0.00082570851776629,0.00138241310529911,"Downregulated"
"ENSG00000275880.1","ENSG00000275880","NAXD-AS1","lncRNA",4.48313321441095,-2.35545004403185,0.704993785933774,-3.34109334157042,0.000834491629645914,0.00139582787359517,"Downregulated"
"ENSG00000289042.1","ENSG00000289042","ENSG00000289042","lncRNA",6.60913018629819,-1.87519031295063,0.561765115408196,-3.33803267863662,0.000843738257025463,0.00141048042690195,"Downregulated"
"ENSG00000249464.8","ENSG00000249464","LINC01091","lncRNA",6.64295283247032,-2.35110890601504,0.704970795631528,-3.33504440266758,0.000852857799192757,0.00142457529113663,"Downregulated"
"ENSG00000286536.2","ENSG00000286536","ENSG00000286536","lncRNA",9.77642401715549,-3.76060972040424,1.13497645872098,-3.31338125254344,0.000921752388270541,0.00153487712407407,"Downregulated"
"ENSG00000228878.11","ENSG00000228878","SEPTIN7-DT","lncRNA",8.66755245442235,-1.65949454207272,0.501517836917658,-3.3089442087883,0.000936484964603521,0.00155797728240549,"Downregulated"
"ENSG00000293919.1","ENSG00000293919","ENSG00000293919","lncRNA",6.88218113698843,-1.51372869090396,0.457614901232868,-3.30786582085897,0.000940098403078566,0.001563450316435,"Downregulated"
"ENSG00000285569.5","ENSG00000285569","ENSG00000285569","lncRNA",10.0460685048538,-2.51974009082946,0.762450718018465,-3.30479076389097,0.000950473287004985,0.00157943571554595,"Downregulated"
"ENSG00000172367.17","ENSG00000172367","NHERF4","protein_coding",11.7618436338015,-1.25124405553519,0.379038339185475,-3.30110156725576,0.000963060123935791,0.00159998478918692,"Downregulated"
"ENSG00000135773.15","ENSG00000135773","CAPN9","protein_coding",23.3054484278382,-3.5080701238504,1.06301432330424,-3.30011557412135,0.000966450191905306,0.00160488096494691,"Downregulated"
"ENSG00000293316.2","ENSG00000293316","PLEKHA8P1","lncRNA",5.84588982497363,-2.539981944729,0.769964768182825,-3.29882879021017,0.000970891070689922,0.00161188605755967,"Downregulated"
"ENSG00000145736.17","ENSG00000145736","GTF2H2","protein_coding",10.0758367037782,-1.57489130348415,0.477687767893046,-3.29690523672101,0.000977564783049313,0.001622222470623,"Downregulated"
"ENSG00000260219.5","ENSG00000260219","CD2BP2-DT","lncRNA",7.33582073060753,-2.20161675286108,0.668089962121572,-3.29538965960463,0.000982852926193239,0.00163081115255237,"Downregulated"
"ENSG00000286873.2","ENSG00000286873","ENSG00000286873","lncRNA",4.65791832374523,-3.85877230770916,1.17108908664795,-3.29502883401832,0.000984115814509206,0.0016327196776036,"Downregulated"
"ENSG00000175449.17","ENSG00000175449","RFESD","protein_coding",5.63884933440078,-2.17063332717104,0.658950578710986,-3.29407606169366,0.00098745773980082,0.00163788915705545,"Downregulated"
"ENSG00000235726.8","ENSG00000235726","ENSG00000235726","lncRNA",12.0422439158561,-1.40127103018758,0.425409638168017,-3.29393343371817,0.000987958922130314,0.00163853292509871,"Downregulated"
"ENSG00000128266.11","ENSG00000128266","GNAZ","protein_coding",12.8002174038813,-1.39303511229185,0.423136375240974,-3.29216582124031,0.00099418973646976,0.00164830084211415,"Downregulated"
"ENSG00000184378.5","ENSG00000184378","ACTRT3","protein_coding",8.05710206542824,-2.57217147527936,0.782004646266288,-3.28920229254429,0.0010047178317761,0.00166499380424235,"Downregulated"
"ENSG00000204052.7","ENSG00000204052","LRRC73","protein_coding",10.5884232017218,-1.1906976591054,0.362658151810368,-3.2832507780716,0.00102617334605568,0.00169841298892632,"Downregulated"
"ENSG00000178665.17","ENSG00000178665","ZNF713","protein_coding",11.863557258357,-1.48027150979529,0.451491042819049,-3.27862874211785,0.00104312770649926,0.00172568569892549,"Downregulated"
"ENSG00000215182.8","ENSG00000215182","MUC5AC","protein_coding",6.28241279439912,-1.84223834496201,0.562737472787157,-3.27370831701979,0.00106146118026961,0.00175521399183788,"Downregulated"
"ENSG00000269176.2","ENSG00000269176","ENSG00000269176","lncRNA",7.15596554532504,-2.12813752738063,0.651580367110285,-3.26611671376592,0.00109033300143238,0.00180172244660867,"Downregulated"
"ENSG00000269940.1","ENSG00000269940","ENSG00000269940","lncRNA",16.5247390305906,-1.00869860822969,0.309294135138116,-3.26129238687068,0.00110905615303576,0.00183078275085935,"Downregulated"
"ENSG00000168874.16","ENSG00000168874","ATOH8","protein_coding",9.46998635845412,-3.20475361408836,0.983426004265267,-3.25876436070316,0.00111898567978723,0.0018457023072475,"Downregulated"
"ENSG00000273175.3","ENSG00000273175","ENSG00000273175","lncRNA",26.0184504073687,-1.24818517564531,0.383078922808116,-3.25829770663347,0.00112082755597426,0.00184822296401866,"Downregulated"
"ENSG00000151834.18","ENSG00000151834","GABRA2","protein_coding",22.3418295843016,-2.57115588807512,0.789137388445485,-3.2581853625514,0.00112127139471757,0.00184863083643312,"Downregulated"
"ENSG00000153064.13","ENSG00000153064","BANK1","protein_coding",4.58224044863307,-1.78052743505826,0.546587518263203,-3.25753401891784,0.00112384786741746,0.0018524571536185,"Downregulated"
"ENSG00000119686.12","ENSG00000119686","FLVCR2","protein_coding",29.0880126975501,-1.02493824015105,0.315722105244928,-3.24633031113209,0.00116903115962869,0.00192455588339054,"Downregulated"
"ENSG00000280161.1","ENSG00000280161","ENSG00000280161","TEC",4.11634528790418,-3.14261902294811,0.968503403406884,-3.24481980331033,0.00117524968006672,0.00193410383415022,"Downregulated"
"ENSG00000176907.5","ENSG00000176907","TCIM","protein_coding",3.5219599711386,-2.20926150259408,0.68151062313578,-3.24171249514612,0.00118813819897252,0.00195420483253998,"Downregulated"
"ENSG00000089199.12","ENSG00000089199","CHGB","protein_coding",3.62952986914827,-2.23692237674534,0.69061849830843,-3.23901311972436,0.001199440560286,0.00197167565785671,"Downregulated"
"ENSG00000243660.14","ENSG00000243660","ZNF487","protein_coding",9.31950773803,-1.53168307755619,0.473600508979793,-3.23412464411337,0.00122016191539543,0.00200255792501819,"Downregulated"
"ENSG00000236452.1","ENSG00000236452","ENSG00000236452","lncRNA",15.7971475222755,-2.93655384459747,0.908065800348111,-3.23385578828289,0.00122131108271065,0.002004216986824,"Downregulated"
"ENSG00000271533.1","ENSG00000271533","ENSG00000271533","lncRNA",14.3109771644478,-1.36340800853482,0.423247055383833,-3.22130536099862,0.00127608106414283,0.00208960076627773,"Downregulated"
"ENSG00000162676.15","ENSG00000162676","GFI1","protein_coding",6.57829936118771,-1.6086304835416,0.49972140132977,-3.21905461575388,0.00128613986246564,0.00210559634962178,"Downregulated"
"ENSG00000105559.15","ENSG00000105559","PLEKHA4","protein_coding",45.6799061062673,-1.48290667500783,0.461001282028158,-3.21670835378991,0.00129670340675196,0.00212169196913733,"Downregulated"
"ENSG00000166869.5","ENSG00000166869","CHP2","protein_coding",19.3516649454385,-1.00471320656277,0.312909020822623,-3.21087964776925,0.00132329343361651,0.00216178203584382,"Downregulated"
"ENSG00000172264.20","ENSG00000172264","MACROD2","protein_coding",15.1530005155169,-1.28124864662695,0.399068750062314,-3.2105962855445,0.00132459884151597,0.00216367069558718,"Downregulated"
"ENSG00000308452.1","ENSG00000308452","ENSG00000308452","lncRNA",6.14048790120229,-1.72958341777832,0.538729193740268,-3.21048763994064,0.00132509967081774,0.00216424483596198,"Downregulated"
"ENSG00000179743.5","ENSG00000179743","SPEN-AS1","lncRNA",25.0117663903127,-1.11557795429867,0.34760390924659,-3.20933661740633,0.00133041634104671,0.0021722096095916,"Downregulated"
"ENSG00000259230.2","ENSG00000259230","LINC02323","lncRNA",12.4815825501569,-3.56352348624662,1.11041210287693,-3.20919006287306,0.00133109469956854,0.0021730567067869,"Downregulated"
"ENSG00000300428.1","ENSG00000300428","ENSG00000300428","lncRNA",7.11870544219176,-2.61816011480389,0.817840890157388,-3.20130742582465,0.00136805486333432,0.00222937715950084,"Downregulated"
"ENSG00000204764.16","ENSG00000204764","RANBP17","protein_coding",9.90039083223542,-1.65027030797503,0.515989897599399,-3.19826088776695,0.00138259138265531,0.00225179976595198,"Downregulated"
"ENSG00000281468.1","ENSG00000281468","ENSG00000281468","lncRNA",6.99535603400651,-1.8979367898817,0.593583205620157,-3.19742332989155,0.00138661267048429,0.00225809538382495,"Downregulated"
"ENSG00000145920.17","ENSG00000145920","CPLX2","protein_coding",7.89914918407532,-3.55554036434987,1.11344607856689,-3.19327575245152,0.00140668546912763,0.00228769900332146,"Downregulated"
"ENSG00000254231.4","ENSG00000254231","WWP1-AS1","lncRNA",6.61083101970376,-3.56663379800471,1.11826305334937,-3.18944079152226,0.00142548336593045,0.00231671020960683,"Downregulated"
"ENSG00000124615.23","ENSG00000124615","MOCS1","protein_coding",34.0884623474176,-1.33250291367133,0.417829298855859,-3.18910836870492,0.00142712366768366,0.00231911596681673,"Downregulated"
"ENSG00000275389.1","ENSG00000275389","ENSG00000275389","lncRNA",7.2988181499685,-3.64714831839077,1.14491399545438,-3.18552164867486,0.00144493292680959,0.00234647780987501,"Downregulated"
"ENSG00000291176.2","ENSG00000291176","ENSG00000291176","lncRNA",15.9999678238044,-1.19785004421796,0.376335777726124,-3.18292895630478,0.00145793381865391,0.00236652967069136,"Downregulated"
"ENSG00000171889.8","ENSG00000171889","MIR31HG","lncRNA",4.89743109551703,-1.77243567116153,0.557062528588589,-3.1817535378879,0.00146386332361417,0.00237588837336953,"Downregulated"
"ENSG00000180316.13","ENSG00000180316","PNPLA1","protein_coding",15.3319422092094,-1.56098882503865,0.490767171751873,-3.18071157748071,0.0014691381617384,0.00238418255766101,"Downregulated"
"ENSG00000280693.2","ENSG00000280693","SH3PXD2A-AS1","lncRNA",12.4372233975263,-3.56260442820605,1.12051964588756,-3.17942165608719,0.0014756925448015,0.00239347916723708,"Downregulated"
"ENSG00000235652.12","ENSG00000235652","EPM2A-DT","lncRNA",10.8440082993641,-3.37304745042741,1.06124778603823,-3.17837878655973,0.00148101128837498,0.00240129957385659,"Downregulated"
"ENSG00000224505.5","ENSG00000224505","HEXIM2-AS1","lncRNA",6.1812630628986,-1.84066680253808,0.57959501833438,-3.1757809234243,0.00149433756160129,0.00242128129949976,"Downregulated"
"ENSG00000225265.3","ENSG00000225265","TAF1A-AS1","lncRNA",8.49534078619197,-1.80956321825455,0.569904118905643,-3.17520642196684,0.00149729946284382,0.00242553809697436,"Downregulated"
"ENSG00000225968.9","ENSG00000225968","ELFN1","protein_coding",21.1029232212282,-1.94761941094009,0.614671828990182,-3.16855160604928,0.00153200548416034,0.00247898877584319,"Downregulated"
"ENSG00000261652.4","ENSG00000261652","PIERCE2","protein_coding",11.0141502556761,-1.21111174759202,0.383761231641355,-3.155899157432,0.00160004169223423,0.00258417521496249,"Downregulated"
"ENSG00000157890.21","ENSG00000157890","MEGF11","protein_coding",7.20526889993417,-2.66022027121229,0.845488402487344,-3.14637109555398,0.0016531011292059,0.00266571064475931,"Downregulated"
"ENSG00000234350.8","ENSG00000234350","ERICH2-DT","lncRNA",14.0846750077972,-1.88122884255398,0.60038639876311,-3.13336352460617,0.00172815263218512,0.00278023844867082,"Downregulated"
"ENSG00000304056.1","ENSG00000304056","ENSG00000304056","lncRNA",6.01031856223738,-2.64599958723138,0.845038553589264,-3.13121759473886,0.00174083124450991,0.00279970329546527,"Downregulated"
"ENSG00000181634.9","ENSG00000181634","TNFSF15","protein_coding",818.179758621126,-1.08164555167549,0.345870694170075,-3.12731194029297,0.00176412641078473,0.00283370870595127,"Downregulated"
"ENSG00000254369.7","ENSG00000254369","HOXA-AS3","lncRNA",16.6894248440494,-2.48322212302079,0.794545408996717,-3.1253369472695,0.00177601498696696,0.0028518569740859,"Downregulated"
"ENSG00000204947.11","ENSG00000204947","ZNF425","protein_coding",21.8103604056941,-1.78648262242543,0.57226302993066,-3.12178583795968,0.00179757651629153,0.00288552047785742,"Downregulated"
"ENSG00000224186.8","ENSG00000224186","PITX1-AS1","lncRNA",11.1652368733876,-1.51825791840453,0.486391482997662,-3.1214730756538,0.00179948702003269,0.00288794749660174,"Downregulated"
"ENSG00000289915.2","ENSG00000289915","ENSG00000289915","lncRNA",28.6194732527801,-1.55969430242358,0.499741223803492,-3.12100388787794,0.00180235654632383,0.00289191220873838,"Downregulated"
"ENSG00000229167.3","ENSG00000229167","ENSG00000229167","lncRNA",15.1406328500779,-2.62357946645582,0.84138111600828,-3.11818201827815,0.00181970383758544,0.00291780792368756,"Downregulated"
