"gene_id","ensembl_gene_id","gene_symbol","gene_type","HT55_baseMean","HT55_log2FC","HT55_pvalue","HT55_padj","HT55_status","SW948_baseMean","SW948_log2FC","SW948_pvalue","SW948_padj","SW948_status","shared_response","joint_padj"
"ENSG00000175548.10","ENSG00000175548","ALG10B","protein_coding",66.7535354897523,-1.00302081610562,8.5616987571012e-09,7.33858135437684e-08,"Downregulated",66.7535354897523,-1.71516396754336,1.24606284574252e-09,3.58221439406876e-09,"Downregulated","Shared_downregulated",7.33858135437684e-08
"ENSG00000164953.18","ENSG00000164953","TMEM67","protein_coding",44.7444275114849,-1.53941746821894,8.68184747448923e-09,7.42285153984059e-08,"Downregulated",44.7444275114849,-4.10175299726376,1.75410064387985e-24,1.37037339790333e-23,"Downregulated","Shared_downregulated",7.42285153984059e-08
"ENSG00000153303.18","ENSG00000153303","FRMD1","protein_coding",53.1270237486136,1.3917564773282,9.736104117694e-09,8.25120589904219e-08,"Upregulated",53.1270237486136,2.33587429653222,1.03640917450545e-18,5.67421297957424e-18,"Upregulated","Shared_upregulated",8.25120589904219e-08
"ENSG00000148842.20","ENSG00000148842","CNNM2","protein_coding",183.875493680358,1.85995607662548,4.81090531310854e-24,2.88097685113921e-22,"Upregulated",183.875493680358,1.00958227150069,3.53940012414012e-08,9.03363624498744e-08,"Upregulated","Shared_upregulated",9.03363624498744e-08
"ENSG00000186446.14","ENSG00000186446","ZNF501","protein_coding",30.6749207696532,-1.81091214673024,1.2298058242102e-08,1.02427275887668e-07,"Downregulated",30.6749207696532,-1.52804744305764,1.5701625216472e-10,4.82297483334279e-10,"Downregulated","Shared_downregulated",1.02427275887668e-07
"ENSG00000165125.23","ENSG00000165125","TRPV6","protein_coding",29.8066457353954,-3.19586451178039,1.23475939335012e-08,1.02662840667986e-07,"Downregulated",29.8066457353954,-5.20510259247353,8.86754759875073e-22,5.88593309750588e-21,"Downregulated","Shared_downregulated",1.02662840667986e-07
"ENSG00000132879.16","ENSG00000132879","FBXO44","protein_coding",115.998937634655,1.19081081245643,1.82081129571291e-08,1.4666798808284e-07,"Upregulated",115.998937634655,1.0972300072506,4.45580483006146e-08,1.12517030139834e-07,"Upregulated","Shared_upregulated",1.4666798808284e-07
"ENSG00000165914.17","ENSG00000165914","TTC7B","protein_coding",68.0008124662548,2.22010281199439,1.67967743842044e-17,4.8106492959662e-16,"Upregulated",68.0008124662548,1.16868441265719,5.97247561415886e-08,1.49152363605704e-07,"Upregulated","Shared_upregulated",1.49152363605704e-07
"ENSG00000197852.13","ENSG00000197852","INKA2","protein_coding",32.8706451939866,-1.25176251028708,1.86515893081268e-08,1.49833055572823e-07,"Downregulated",32.8706451939866,-2.77489172260541,6.6823900950228e-13,2.4374829412804e-12,"Downregulated","Shared_downregulated",1.49833055572823e-07
"ENSG00000135074.18","ENSG00000135074","ADAM19","protein_coding",99.7737974079338,1.12579522054391,1.89202847590103e-08,1.51823237390685e-07,"Upregulated",99.7737974079338,4.73684225696976,8.15930009886025e-16,3.67675923609088e-15,"Upregulated","Shared_upregulated",1.51823237390685e-07
