"gene_id","ensembl_gene_id","gene_symbol","gene_type","HT55_log2FC","HT55_padj","HT55_status","SW948_log2FC","SW948_padj","SW948_status","significance_group"
"ENSG00000150456.13","ENSG00000150456","EEF1AKMT1","protein_coding",-0.233411910997957,0.258168263889301,"Not_significant",-0.91261635127939,8.38446588929421e-06,"Not_significant","Neither"
"ENSG00000150457.11","ENSG00000150457","LATS2","protein_coding",1.57073087429291,4.92711510833594e-14,"Upregulated",2.26800684383088,1.10190243596521e-29,"Upregulated","Significant_both"
"ENSG00000150459.15","ENSG00000150459","SAP18","protein_coding",-0.0798849377994585,0.481640495338008,"Not_significant",0.678902422959356,1.02319431979455e-13,"Not_significant","Neither"
"ENSG00000150471.19","ENSG00000150471","ADGRL3","protein_coding",-1.65704100812819,0.0308825158491091,"Downregulated",-4.46598187945619,8.41314877927697e-10,"Downregulated","Significant_both"
"ENSG00000150477.17","ENSG00000150477","KIAA1328","protein_coding",-0.126061371429527,0.641464894375714,"Not_significant",0.460781347002719,0.00933392984379457,"Not_significant","Neither"
"ENSG00000150527.20","ENSG00000150527","MIA2","protein_coding",-0.437461117027801,3.8025783498246e-05,"Not_significant",-0.849571183286521,1.44890853893097e-17,"Not_significant","Neither"
"ENSG00000150540.16","ENSG00000150540","HNMT","protein_coding",0.355892544168825,2.01508227142054e-05,"Not_significant",-0.0249115724487532,0.770886221217923,"Not_significant","Neither"
"ENSG00000150556.19","ENSG00000150556","LYPD6B","protein_coding",-1.18613275385186,2.83884907745334e-12,"Downregulated",-2.63947139267632,3.89205779024116e-35,"Downregulated","Significant_both"
"ENSG00000150593.20","ENSG00000150593","PDCD4","protein_coding",0.227050569344139,0.00513812071603512,"Not_significant",0.179173135111996,0.0167915132189123,"Not_significant","Neither"
"ENSG00000150672.20","ENSG00000150672","DLG2","protein_coding",0.646881151665154,0.116177192850125,"Not_significant",1.28791089423698,6.13639626802439e-07,"Upregulated","SW948_only"
"ENSG00000150687.14","ENSG00000150687","PRSS23","protein_coding",0.760259136555352,8.95678093087136e-45,"Not_significant",0.33168053069065,6.56388829419472e-09,"Not_significant","Neither"
"ENSG00000150712.13","ENSG00000150712","MTMR12","protein_coding",0.102135127093113,0.244338789297021,"Not_significant",-0.277599622601981,2.20662144024019e-05,"Not_significant","Neither"
"ENSG00000150722.13","ENSG00000150722","PPP1R1C","protein_coding",-0.967944245618121,0.321953545421955,"Not_significant",-1.83622935100305,0.000217174060314246,"Downregulated","SW948_only"
"ENSG00000150750.9","ENSG00000150750","POU2AF2","protein_coding",0,1,"Not_significant",0.74798663843315,0.221495497152334,"Not_significant","Neither"
"ENSG00000150753.14","ENSG00000150753","CCT5","protein_coding",-0.0611617959808026,0.382795788903656,"Not_significant",0.317451683549818,2.68581956264769e-08,"Not_significant","Neither"
"ENSG00000150756.16","ENSG00000150756","ATPSCKMT","protein_coding",-0.828318455088038,0.00127326248847811,"Not_significant",-3.70825825241234,1.15238881208351e-37,"Downregulated","SW948_only"
"ENSG00000150760.15","ENSG00000150760","DOCK1","protein_coding",0.526350490659826,4.6068705927696e-05,"Not_significant",-1.10073618077654,3.63460283607427e-08,"Downregulated","SW948_only"
"ENSG00000150764.16","ENSG00000150764","DIXDC1","protein_coding",-0.0376791059873442,0.93371597480326,"Not_significant",-1.19671037141261,1.12462585744439e-08,"Downregulated","SW948_only"
"ENSG00000150768.20","ENSG00000150768","DLAT","protein_coding",0.0698161769526422,0.379521726253152,"Not_significant",-0.0392294677299352,0.603947701270944,"Not_significant","Neither"
"ENSG00000150773.14","ENSG00000150773","PIH1D2","protein_coding",-2.4234154547958,0.00382905279196039,"Downregulated",-2.50027738474356,8.53891858650889e-06,"Downregulated","Significant_both"
"ENSG00000150776.20","ENSG00000150776","NKAPD1","protein_coding",-0.375721362296005,1.79324820827477e-05,"Not_significant",-0.637004185200759,3.20715497370999e-19,"Not_significant","Neither"
